arm_id,track,model,dataset,seed,initial_state
R-pythia-70m-tinystories-s42,R,pythia-70m,tinystories,42,pending
R-pythia-70m-cnn_dailymail-s42,R,pythia-70m,cnn_dailymail,42,pending
R-pythia-70m-wikitext-s42,R,pythia-70m,wikitext,42,pending
R-pythia-160m-tinystories-s42,R,pythia-160m,tinystories,42,pending
R-pythia-160m-cnn_dailymail-s42,R,pythia-160m,cnn_dailymail,42,pending
R-pythia-160m-wikitext-s42,R,pythia-160m,wikitext,42,pending
R-pythia-410m-tinystories-s42,R,pythia-410m,tinystories,42,pending
R-pythia-410m-cnn_dailymail-s42,R,pythia-410m,cnn_dailymail,42,pending
R-pythia-410m-wikitext-s42,R,pythia-410m,wikitext,42,pending
R-smollm2-135m-tinystories-s42,R,smollm2-135m,tinystories,42,pending
R-smollm2-135m-cnn_dailymail-s42,R,smollm2-135m,cnn_dailymail,42,pending
R-smollm2-135m-wikitext-s42,R,smollm2-135m,wikitext,42,pending
R-smollm2-360m-tinystories-s42,R,smollm2-360m,tinystories,42,pending
R-smollm2-360m-cnn_dailymail-s42,R,smollm2-360m,cnn_dailymail,42,pending
R-smollm2-360m-wikitext-s42,R,smollm2-360m,wikitext,42,pending
M-pythia-70m-tinystories-s42,M,pythia-70m,tinystories,42,pending
M-pythia-70m-cnn_dailymail-s42,M,pythia-70m,cnn_dailymail,42,pending
M-pythia-70m-wikitext-s42,M,pythia-70m,wikitext,42,pending
M-pythia-160m-tinystories-s42,M,pythia-160m,tinystories,42,pending
M-pythia-160m-cnn_dailymail-s42,M,pythia-160m,cnn_dailymail,42,pending
M-pythia-160m-wikitext-s42,M,pythia-160m,wikitext,42,pending
M-pythia-410m-tinystories-s42,M,pythia-410m,tinystories,42,pending
M-pythia-410m-cnn_dailymail-s42,M,pythia-410m,cnn_dailymail,42,pending
M-pythia-410m-wikitext-s42,M,pythia-410m,wikitext,42,pending
M-smollm2-135m-tinystories-s42,M,smollm2-135m,tinystories,42,pending
M-smollm2-135m-cnn_dailymail-s42,M,smollm2-135m,cnn_dailymail,42,pending
M-smollm2-135m-wikitext-s42,M,smollm2-135m,wikitext,42,pending
M-smollm2-360m-tinystories-s42,M,smollm2-360m,tinystories,42,pending
M-smollm2-360m-cnn_dailymail-s42,M,smollm2-360m,cnn_dailymail,42,pending
M-smollm2-360m-wikitext-s42,M,smollm2-360m,wikitext,42,pending
