model,n,reported_accuracy,mean_accuracy,sample_sd,t95_low,t95_high,mean_cross_entropy,mean_best_history_accuracy_unweighted_batch_mean
asr_mutated_teacher,5,,49.99709724238026,0.32150579632198806,49.59789506987342,50.39629941488711,0.747144913694163,
control_student,5,94.47,86.42089985486211,20.07763605816927,61.491221992395594,111.35057771732863,0.44854847878953025,95.5738811801981
control_teacher,5,94.5,95.2365747460087,0.12997743499121991,95.07518644440123,95.39796304761617,0.3603766399267277,95.62183090934047
rkd_paper_weak_teacher,5,70.1,71.5065312046444,1.361026561271298,69.81659352291476,73.19646888637405,0.5919046706488931,72.7635857683641
rkd_upstream_asr_teacher,5,70.1,49.99709724238026,0.32150579632198806,49.59789506987342,50.39629941488711,0.7472250639163877,49.99255952459795
sprkd_paper_random_init,5,94.8,67.97677793904208,24.63374378675224,37.38994513805616,98.563610740028,0.6332999091847369,94.14861663624092
sprkd_upstream_direct_init,5,94.8,85.74165457184326,20.012097133317656,60.89335403284597,110.58995511084055,0.4551642237692336,94.82735340242033
weak_teacher_0,5,,71.36719883889695,1.499331212556698,69.50553325088211,73.2288644269118,0.584326759969548,71.36587853784914
weak_teacher_1,5,,68.52830188679245,11.045062355667868,54.814045601844,82.2425581717409,0.5995711392761142,68.52086090379291
weak_teacher_2,5,,67.1233671988389,9.953344877790949,54.76465720238004,79.48207719529778,0.6037300268762863,67.12039792979206
weak_teacher_ensemble_mean,5,70.13,69.00628930817611,4.17710110631851,63.8197332476033,74.19284536874892,0.5958759753739828,69.00237912381138
